Date,BTC_Price
2019-08-11,11719.41
2019-08-12,11541.43
2019-08-13,11491.16
2019-08-14,11242.44
2019-08-15,10507.54
2019-08-16,9992.44
2019-08-17,10283.14
2019-08-18,10422.56
2019-08-19,10400.93
2019-08-20,10681.72
2019-08-21,10790.66
2019-08-22,10173.91
2019-08-23,10081.6
2019-08-24,10331.75
2019-08-25,10146.72
2019-08-26,10147.29
2019-08-27,10408.32
2019-08-28,10226.77
2019-08-29,10000.16
2019-08-30,9639.51
2019-08-31,9556.43
2019-09-01,9604.58
2019-09-02,9638.46
2019-09-03,9987.18
2019-09-04,10569.65
2019-09-05,10546.02
2019-09-06,10583.34
2019-09-07,10676.13
2019-09-08,10501.8
2019-09-09,10436.32
2019-09-10,10334.8
2019-09-11,10146.1
2019-09-12,10135.52
2019-09-13,10260.9
2019-09-14,10236.47
2019-09-15,10353.06
2019-09-16,10347.24
2019-09-17,10279.41
2019-09-18,10240.7
2019-09-19,10274.89
2019-09-20,10020.58
2019-09-21,10240.88
2019-09-22,10074.1
2019-09-23,9980.6
2019-09-24,9831.04
2019-09-25,9505.83
2019-09-26,8457.7
2019-09-27,8168.88
2019-09-28,8036.56
2019-09-29,8163.55
2019-09-30,8178.63
2019-10-01,8075.76
2019-10-02,8372.22
2019-10-03,8097.01
2019-10-04,8312.85
2019-10-05,8158.26
2019-10-06,8150.55
2019-10-07,7887.33
2019-10-08,8036.62
2019-10-09,8177.39
2019-10-10,8344.97
2019-10-11,8539.33
2019-10-12,8318.22
2019-10-13,8379.04
2019-10-14,8245.23
2019-10-15,8273.12
2019-10-16,8260.51
2019-10-17,8018.79
2019-10-18,8067.08
2019-10-19,7967.52
2019-10-20,8021.25
2019-10-21,8047.73
2019-10-22,8205.15
2019-10-23,8170.44
2019-10-24,7715.22
2019-10-25,7445.53
2019-10-26,7889.37
2019-10-27,9278.47
2019-10-28,9443.21
2019-10-29,9429.01
2019-10-30,9372.63
2019-10-31,9080.76
2019-11-02,9090.69
2019-11-03,9327.64
2019-11-04,9204.25
2019-11-05,9248.02
2019-11-06,9290.23
2019-11-07,9363.42
2019-11-08,9173.55
2019-11-09,8962.98
2019-11-10,8777.19
2019-11-11,8923.43
2019-11-12,8804.5
2019-11-13,8688.0
2019-11-14,8815.91
2019-11-15,8622.01
